FrameTimeMillis,MemoryUsageBytes,Technique
20,921960,NaiveDebugWorld
5404.313,2730241,NaiveDebugWorld
83.6988,2734529,NaiveDebugWorld
1290.853,5831457,NaiveDebugWorld
63.9547,5956025,NaiveDebugWorld
34.0374,5978089,NaiveDebugWorld
5.8753,5978569,NaiveDebugWorld
6.0378,5882601,NaiveDebugWorld
18.5015,38992793,NaiveDebugWorld
305.1544,72054945,NaiveDebugWorld
260.6182,73033985,NaiveDebugWorld
18.7938,73041817,NaiveDebugWorld
8.3502,106203601,NaiveDebugWorld
230.9846,139360617,NaiveDebugWorld
245.2196,214131353,NaiveDebugWorld
522.7469,215554753,NaiveDebugWorld
23.284,216539865,NaiveDebugWorld
14.8313,216541905,NaiveDebugWorld
7.4799,291311481,NaiveDebugWorld
501.0908,324468889,NaiveDebugWorld
246.632,399200089,NaiveDebugWorld
514.8142,400183761,NaiveDebugWorld
20.003,400192177,NaiveDebugWorld
7.2568,474922081,NaiveDebugWorld
523.8783,508079633,NaiveDebugWorld
257.413,582810657,NaiveDebugWorld
524.2559,657542369,NaiveDebugWorld
517.6234,659817305,NaiveDebugWorld
26.1228,659826065,NaiveDebugWorld
7.3254,734557601,NaiveDebugWorld
672.0737,767715265,NaiveDebugWorld
396.3129,800877097,NaiveDebugWorld
387.1786,834039849,NaiveDebugWorld
393.6418,835018721,NaiveDebugWorld
29.5324,835026553,NaiveDebugWorld
12.9172,868188337,NaiveDebugWorld
348.6854,901345257,NaiveDebugWorld
243.1943,934508001,NaiveDebugWorld
240.0241,935486857,NaiveDebugWorld
22.0114,936471969,NaiveDebugWorld
15.162,937450825,NaiveDebugWorld
13.2806,938429697,NaiveDebugWorld
87.84029,938431705,NaiveDebugWorld
39.8431,938433713,NaiveDebugWorld
37.8,938435721,NaiveDebugWorld
38.361,938437729,NaiveDebugWorld
37.5484,1013164497,NaiveDebugWorld
563.8374,1046322065,NaiveDebugWorld
279.0572,1048596377,NaiveDebugWorld
26.4737,1050877889,NaiveDebugWorld
22.8784,1053152073,NaiveDebugWorld
22.6384,1053154657,NaiveDebugWorld
57.1334,1053156729,NaiveDebugWorld
68.17139,1053157857,NaiveDebugWorld
37.479,1053159865,NaiveDebugWorld
37.8433,1127888337,NaiveDebugWorld
1067,1161047377,NaiveDebugWorld
317.0007,1163330961,NaiveDebugWorld
31.2931,1165612113,NaiveDebugWorld
29.8726,1166592617,NaiveDebugWorld
17.2066,1166594657,NaiveDebugWorld
57.6225,1166589705,NaiveDebugWorld
75.6358,1166590449,NaiveDebugWorld
38.1824,1166592457,NaiveDebugWorld
38.3367,1199755137,NaiveDebugWorld
312.3116,1200727217,NaiveDebugWorld
20.7237,1203007025,NaiveDebugWorld
22.7634,1205281721,NaiveDebugWorld
22.3033,1206262393,NaiveDebugWorld
64.85419,1206264481,NaiveDebugWorld
129.2388,1206259305,NaiveDebugWorld
38.8532,1206267169,NaiveDebugWorld
38.1528,1206268289,NaiveDebugWorld
37.8892,1239431529,NaiveDebugWorld
308.2099,1240401665,NaiveDebugWorld
22.795,1241385865,NaiveDebugWorld
17.9047,1242364257,NaiveDebugWorld
18.3037,1243342633,NaiveDebugWorld
71.6423,1243344641,NaiveDebugWorld
118.9928,1243340825,NaiveDebugWorld
38.1501,1243348657,NaiveDebugWorld
38.2695,1243350665,NaiveDebugWorld
38.2539,1243349809,NaiveDebugWorld
49.5033,1243350289,NaiveDebugWorld
35.0652,1243350769,NaiveDebugWorld
38.2829,1243351249,NaiveDebugWorld
37.3068,1243351729,NaiveDebugWorld
40.2385,1243352209,NaiveDebugWorld
36.6578,1243352689,NaiveDebugWorld
38.5564,1243353169,NaiveDebugWorld
38.293,1243353649,NaiveDebugWorld
40.1653,1243354129,NaiveDebugWorld
38.5406,1243354609,NaiveDebugWorld
38.4324,1243355089,NaiveDebugWorld
35.874,1243355569,NaiveDebugWorld
39.3914,1243356049,NaiveDebugWorld
36.2748,1243356529,NaiveDebugWorld
38.7192,1243357009,NaiveDebugWorld
37.7997,1243357489,NaiveDebugWorld
39.6373,1243357969,NaiveDebugWorld
5.1008,683856,CullingDebugWorld
20.7894,634792,CullingDebugWorld
18.4681,634392,CullingDebugWorld
21.3089,647568,CullingDebugWorld
17.0114,574656,CullingDebugWorld
15.3286,457096,CullingDebugWorld
5.2099,457352,CullingDebugWorld
5.5729,457832,CullingDebugWorld
17.7064,458472,CullingDebugWorld
17.7979,459112,CullingDebugWorld
12.0521,459592,CullingDebugWorld
6.6263,460072,CullingDebugWorld
5.7913,456712,CullingDebugWorld
21.9324,455376,CullingDebugWorld
18.8995,458720,CullingDebugWorld
70.1456,616312,CullingDebugWorld
15.9063,1010232,CullingDebugWorld
12.3583,1012968,CullingDebugWorld
8.052,1012096,CullingDebugWorld
65.5175,1014008,CullingDebugWorld
68.4403,1016144,CullingDebugWorld
69.8648,1446544,CullingDebugWorld
16.4667,1449200,CullingDebugWorld
7.9374,1451672,CullingDebugWorld
59.565,1453552,CullingDebugWorld
64.5155,1455080,CullingDebugWorld
69.1054,1453600,CullingDebugWorld
70.3802,1883912,CullingDebugWorld
15.5671,1886936,CullingDebugWorld
8.427401,1888952,CullingDebugWorld
61.1471,1891080,CullingDebugWorld
66.8741,1892624,CullingDebugWorld
69.5352,2058904,CullingDebugWorld
20.3946,2224312,CullingDebugWorld
18.1182,2226320,CullingDebugWorld
7.5336,2228328,CullingDebugWorld
55.806,2230464,CullingDebugWorld
76.2462,2232376,CullingDebugWorld
72.72511,2398528,CullingDebugWorld
17.2634,2400536,CullingDebugWorld
9.3708,2402448,CullingDebugWorld
7.6496,2404456,CullingDebugWorld
55.8124,2406248,CullingDebugWorld
57.4493,2408576,CullingDebugWorld
57.0265,2410488,CullingDebugWorld
57.8343,2570880,CullingDebugWorld
16.4311,2737352,CullingDebugWorld
10.5956,2903408,CullingDebugWorld
12.6315,3069368,CullingDebugWorld
10.4659,3071376,CullingDebugWorld
6.8876,3073384,CullingDebugWorld
7.1343,3075392,CullingDebugWorld
7.511,3077400,CullingDebugWorld
7.0262,3079440,CullingDebugWorld
55.0785,3081384,CullingDebugWorld
56.8798,3471832,CullingDebugWorld
12.1445,3638792,CullingDebugWorld
11.3614,3805280,CullingDebugWorld
10.3695,3807680,CullingDebugWorld
7.3262,3809688,CullingDebugWorld
7.3027,3811696,CullingDebugWorld
7.3127,3813512,CullingDebugWorld
7.525,3815552,CullingDebugWorld
55.4671,3981560,CullingDebugWorld
10.9193,4147664,CullingDebugWorld
10.5432,4537872,CullingDebugWorld
12.1321,4929008,CullingDebugWorld
11.7279,4931600,CullingDebugWorld
7.897,4938472,CullingDebugWorld
7.5281,4940512,CullingDebugWorld
7.4175,4942520,CullingDebugWorld
7.382,4940032,CullingDebugWorld
56.1215,4941936,CullingDebugWorld
58.2851,5332104,CullingDebugWorld
12.5415,5723192,CullingDebugWorld
11.0176,6114192,CullingDebugWorld
11.2896,6116760,CullingDebugWorld
7.3128,6124024,CullingDebugWorld
7.0513,6126064,CullingDebugWorld
7.0056,6128104,CullingDebugWorld
11.9462,6109304,CullingDebugWorld
55.9677,6275264,CullingDebugWorld
11.1508,6441320,CullingDebugWorld
9.9387,6443328,CullingDebugWorld
56.0466,6608848,CullingDebugWorld
11.1177,6774904,CullingDebugWorld
10.0641,6776440,CullingDebugWorld
7.4526,6778448,CullingDebugWorld
7.1885,6780456,CullingDebugWorld
7.8598,6779872,CullingDebugWorld
5.9048,6780352,CullingDebugWorld
5.4,6780832,CullingDebugWorld
6.018,6782256,CullingDebugWorld
5.7914,6782736,CullingDebugWorld
5.4658,6783216,CullingDebugWorld
5.7638,6783696,CullingDebugWorld
5.3789,6784176,CullingDebugWorld
5.2271,6784656,CullingDebugWorld
5.0465,6785136,CullingDebugWorld
